mode,consumed_eps,cache_hits,n_answered,mean_abs_error,p95_abs_error,mean_eps_per_query,wall_time_sec,alpha,trial,k,total_eps
predictive_dp,10.0,63,68,8.75,20.0,0.14705882352941177,0.09874240006320179,0.0,12,100,10.0
naive_dp,9.99999999999998,0,100,10.04,32.14999999999999,0.09999999999999998,0.12077809998299927,0.0,13,100,10.0
workload_dp,0.7,93,100,12.12,35.0,0.007000000000000001,0.09003010008018464,0.0,13,100,10.0
predictive_dp,10.0,68,73,9.821917808219178,35.0,0.13698630136986298,0.09795730002224445,0.0,13,100,10.0
naive_dp,9.99999999999998,0,100,11.0,31.399999999999977,0.09999999999999998,0.122398899984546,0.0,14,100,10.0
workload_dp,0.7,93,100,12.05,60.0,0.007000000000000001,0.08997420000378042,0.0,14,100,10.0
predictive_dp,10.0,69,74,12.5,60.0,0.13513513513513514,0.09966900001745671,0.0,14,100,10.0
naive_dp,9.99999999999998,0,100,10.24,29.249999999999986,0.09999999999999998,0.12059679999947548,0.0,15,100,10.0
workload_dp,0.7,93,100,7.61,13.0,0.006999999999999999,0.09243850002530962,0.0,15,100,10.0
predictive_dp,10.0,61,66,5.53030303030303,12.0,0.15151515151515152,0.10026790003757924,0.0,15,100,10.0
naive_dp,9.99999999999998,0,100,11.92,34.29999999999998,0.09999999999999998,0.12050000007729977,0.0,16,100,10.0
workload_dp,0.7,93,100,7.33,18.0,0.007000000000000001,0.089766800054349,0.0,16,100,10.0
predictive_dp,10.0,56,60,7.283333333333333,18.0,0.16666666666666666,0.09847870003432035,0.0,16,100,10.0
naive_dp,9.99999999999998,0,100,8.93,26.19999999999999,0.09999999999999998,0.1239769000094384,0.0,17,100,10.0
workload_dp,0.7,93,100,15.13,31.0,0.007000000000000001,0.09178600006271154,0.0,17,100,10.0
predictive_dp,10.0,67,72,11.208333333333334,20.0,0.1388888888888889,0.09937900002114475,0.0,17,100,10.0
naive_dp,9.99999999999998,0,100,10.54,29.249999999999986,0.09999999999999998,0.11836449999827892,0.0,18,100,10.0
workload_dp,0.7,93,100,8.67,44.0,0.006999999999999999,0.09074330003932118,0.0,18,100,10.0
predictive_dp,10.0,59,63,11.523809523809524,44.0,0.1587301587301587,0.10252539999783039,0.0,18,100,10.0
naive_dp,9.99999999999998,0,100,8.77,28.049999999999997,0.09999999999999998,0.12346839997917414,0.0,19,100,10.0
workload_dp,0.7,93,100,12.14,44.0,0.006999999999999999,0.09055050008464605,0.0,19,100,10.0
predictive_dp,10.0,77,82,13.463414634146341,44.0,0.12195121951219512,0.09960189997218549,0.0,19,100,10.0
naive_dp,9.99999999999998,0,100,11.06,37.14999999999999,0.09999999999999998,0.12177820003125817,0.0,20,100,10.0
workload_dp,0.7,93,100,13.0,43.0,0.007000000000000001,0.08965709991753101,0.0,20,100,10.0
predictive_dp,10.0,71,76,5.776315789473684,31.0,0.13157894736842105,0.10268979996908456,0.0,20,100,10.0
naive_dp,9.99999999999998,0,100,10.45,30.049999999999997,0.09999999999999998,0.12286370003130287,0.0,21,100,10.0
workload_dp,0.7,93,100,8.94,33.0,0.007000000000000001,0.09035750001203269,0.0,21,100,10.0
predictive_dp,10.0,63,68,7.911764705882353,33.0,0.14705882352941177,0.10348619997967035,0.0,21,100,10.0
naive_dp,9.99999999999998,0,100,9.63,32.099999999999994,0.09999999999999998,0.1256456000264734,0.0,22,100,10.0
workload_dp,0.7,93,100,7.95,16.0,0.006999999999999999,0.08999219990801066,0.0,22,100,10.0
predictive_dp,10.0,52,56,6.660714285714286,16.0,0.17857142857142858,0.09769960003904998,0.0,22,100,10.0
naive_dp,9.99999999999998,0,100,10.16,28.0,0.09999999999999998,0.12437299999874085,0.0,23,100,10.0
